Generating RangedArray(valueRange: 5000) : ArrayList...
Generating RandomicArray(arraySize: 100, valueRange: 5000) : ArrayList...

BinarySearchTree(ARRAY_SIZE_TEST: 5000, VALUE_RANGE: 100)

FindValue: 3302 | FindTime: 0,005235 ms | FindComparisons:   14 | Found: false
FindValue:  152 | FindTime: 0,003403 ms | FindComparisons:   24 | Found: false
FindValue: 3893 | FindTime: 0,002094 ms | FindComparisons:   13 | Found: false
FindValue: 4247 | FindTime: 0,003141 ms | FindComparisons:   22 | Found:  true
FindValue: 4345 | FindTime: 0,002618 ms | FindComparisons:   20 | Found:  true
FindValue: 1896 | FindTime: 0,001309 ms | FindComparisons:   10 | Found: false
FindValue: 4231 | FindTime: 0,002356 ms | FindComparisons:   17 | Found:  true
FindValue: 1357 | FindTime: 0,002618 ms | FindComparisons:   18 | Found:  true
FindValue: 2764 | FindTime: 0,002356 ms | FindComparisons:   19 | Found:  true
FindValue: 2193 | FindTime: 0,003141 ms | FindComparisons:   20 | Found: false
FindValue: 3139 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue:  121 | FindTime: 0,003142 ms | FindComparisons:   22 | Found:  true
FindValue: 1005 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue: 4045 | FindTime: 0,001570 ms | FindComparisons:   10 | Found:  true
FindValue: 1413 | FindTime: 0,915633 ms | FindComparisons:   13 | Found:  true
FindValue: 3269 | FindTime: 0,002094 ms | FindComparisons:   13 | Found:  true
FindValue: 4016 | FindTime: 0,002618 ms | FindComparisons:   18 | Found:  true
FindValue:  608 | FindTime: 0,002355 ms | FindComparisons:   18 | Found: false
FindValue: 1111 | FindTime: 0,001832 ms | FindComparisons:   13 | Found: false
FindValue: 1330 | FindTime: 0,002094 ms | FindComparisons:   14 | Found: false
FindValue: 3122 | FindTime: 0,002618 ms | FindComparisons:   18 | Found: false
FindValue:  713 | FindTime: 0,002879 ms | FindComparisons:   21 | Found:  true
FindValue: 4511 | FindTime: 0,003142 ms | FindComparisons:   21 | Found: false
FindValue: 1862 | FindTime: 0,002356 ms | FindComparisons:   17 | Found: false
FindValue: 3725 | FindTime: 0,001832 ms | FindComparisons:   14 | Found:  true
FindValue: 1074 | FindTime: 0,002617 ms | FindComparisons:   15 | Found: false
FindValue: 3773 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue:  563 | FindTime: 0,001832 ms | FindComparisons:   16 | Found:  true
FindValue: 4592 | FindTime: 0,001832 ms | FindComparisons:   12 | Found:  true
FindValue: 1790 | FindTime: 0,003141 ms | FindComparisons:   19 | Found:  true
FindValue: 1691 | FindTime: 0,003403 ms | FindComparisons:   23 | Found: false
FindValue: 4173 | FindTime: 0,002356 ms | FindComparisons:   15 | Found:  true
FindValue:  118 | FindTime: 0,002880 ms | FindComparisons:   22 | Found:  true
FindValue: 4503 | FindTime: 0,002618 ms | FindComparisons:   17 | Found: false
FindValue: 2173 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue: 1752 | FindTime: 0,002356 ms | FindComparisons:   16 | Found: false
FindValue: 1575 | FindTime: 0,001309 ms | FindComparisons:   12 | Found:  true
FindValue: 1649 | FindTime: 0,002617 ms | FindComparisons:   20 | Found:  true
FindValue:  639 | FindTime: 0,001570 ms | FindComparisons:   11 | Found:  true
FindValue: 3076 | FindTime: 0,002094 ms | FindComparisons:   12 | Found:  true
FindValue:  147 | FindTime: 0,002618 ms | FindComparisons:   23 | Found:  true
FindValue: 3734 | FindTime: 0,002356 ms | FindComparisons:   16 | Found: false
FindValue: 1710 | FindTime: 0,001832 ms | FindComparisons:   13 | Found:  true
FindValue: 3086 | FindTime: 0,003141 ms | FindComparisons:   17 | Found:  true
FindValue: 2930 | FindTime: 0,002356 ms | FindComparisons:   15 | Found: false
FindValue:   54 | FindTime: 0,001832 ms | FindComparisons:   13 | Found: false
FindValue: 4510 | FindTime: 0,002880 ms | FindComparisons:   19 | Found:  true
FindValue: 3444 | FindTime: 0,002356 ms | FindComparisons:   17 | Found:  true
FindValue: 3753 | FindTime: 0,001309 ms | FindComparisons:   10 | Found:  true
FindValue: 2418 | FindTime: 0,002880 ms | FindComparisons:   18 | Found: false
FindValue:  707 | FindTime: 0,002618 ms | FindComparisons:   20 | Found:  true
FindValue: 1532 | FindTime: 0,001571 ms | FindComparisons:   10 | Found: false
FindValue: 3872 | FindTime: 0,002094 ms | FindComparisons:   12 | Found:  true
FindValue: 3045 | FindTime: 0,001047 ms | FindComparisons:    7 | Found:  true
FindValue:  900 | FindTime: 0,001571 ms | FindComparisons:   13 | Found:  true
FindValue: 3906 | FindTime: 0,001833 ms | FindComparisons:   13 | Found: false
FindValue: 4359 | FindTime: 0,002618 ms | FindComparisons:   20 | Found: false
FindValue: 4361 | FindTime: 0,001833 ms | FindComparisons:   14 | Found:  true
FindValue: 4793 | FindTime: 0,002356 ms | FindComparisons:   16 | Found: false
FindValue: 4756 | FindTime: 0,002094 ms | FindComparisons:   16 | Found: false
FindValue: 4933 | FindTime: 0,002094 ms | FindComparisons:   13 | Found: false
FindValue:  698 | FindTime: 0,002617 ms | FindComparisons:   18 | Found:  true
FindValue: 3045 | FindTime: 0,001308 ms | FindComparisons:    7 | Found:  true
FindValue: 3131 | FindTime: 0,001570 ms | FindComparisons:   12 | Found:  true
FindValue: 1731 | FindTime: 0,005759 ms | FindComparisons:   13 | Found:  true
FindValue:  408 | FindTime: 0,002094 ms | FindComparisons:   16 | Found: false
FindValue: 1358 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue: 1064 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue: 3221 | FindTime: 0,002356 ms | FindComparisons:   15 | Found:  true
FindValue:  350 | FindTime: 0,002879 ms | FindComparisons:   17 | Found:  true
FindValue: 2561 | FindTime: 0,002356 ms | FindComparisons:   14 | Found: false
FindValue: 4129 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue: 1384 | FindTime: 0,001832 ms | FindComparisons:   13 | Found:  true
FindValue: 2554 | FindTime: 0,001832 ms | FindComparisons:   13 | Found:  true
FindValue:  659 | FindTime: 0,001309 ms | FindComparisons:   11 | Found:  true
FindValue: 4191 | FindTime: 0,001833 ms | FindComparisons:   14 | Found:  true
FindValue:  730 | FindTime: 0,002094 ms | FindComparisons:   17 | Found:  true
FindValue: 3089 | FindTime: 0,002094 ms | FindComparisons:   16 | Found:  true
FindValue: 1547 | FindTime: 0,001309 ms | FindComparisons:    9 | Found: false
FindValue: 4765 | FindTime: 0,001833 ms | FindComparisons:   15 | Found: false
FindValue: 4226 | FindTime: 0,002094 ms | FindComparisons:   16 | Found:  true
FindValue: 4064 | FindTime: 0,002094 ms | FindComparisons:   15 | Found: false
FindValue: 2667 | FindTime: 0,003665 ms | FindComparisons:   20 | Found: false
FindValue:  551 | FindTime: 0,002879 ms | FindComparisons:   20 | Found: false
FindValue: 2520 | FindTime: 0,002356 ms | FindComparisons:   15 | Found: false
FindValue: 4721 | FindTime: 0,002879 ms | FindComparisons:   18 | Found: false
FindValue: 3700 | FindTime: 0,001832 ms | FindComparisons:   14 | Found: false
FindValue: 2924 | FindTime: 0,001832 ms | FindComparisons:   12 | Found: false
FindValue: 1903 | FindTime: 0,002095 ms | FindComparisons:   12 | Found: false
FindValue: 1960 | FindTime: 0,002094 ms | FindComparisons:   16 | Found:  true
FindValue:  241 | FindTime: 0,002618 ms | FindComparisons:   21 | Found: false
FindValue:  618 | FindTime: 0,002356 ms | FindComparisons:   18 | Found: false
FindValue:  511 | FindTime: 0,002094 ms | FindComparisons:   14 | Found:  true
FindValue: 1353 | FindTime: 0,002879 ms | FindComparisons:   17 | Found: false
FindValue: 1516 | FindTime: 0,001309 ms | FindComparisons:    8 | Found:  true
FindValue: 2013 | FindTime: 0,002095 ms | FindComparisons:   15 | Found:  true
FindValue: 3111 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue: 2089 | FindTime: 0,002094 ms | FindComparisons:   15 | Found:  true
FindValue: 1165 | FindTime: 0,002618 ms | FindComparisons:   16 | Found: false
FindValue: 1339 | FindTime: 0,002094 ms | FindComparisons:   16 | Found:  true

